Channel,LocID Root,Baseline,Band,Inst. Code,Orien. Code,sps,LocID,Chan Code,locID.CHA
2,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,H,H,U,100,00,HHU,00.HHU
3,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,B,H,U,50,00,BHU,00.BHU
4,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,B,H,U,25,01,BHU,01.BHU
5,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,B,H,U,20,02,BHU,02.BHU
6,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,B,H,U,10,03,BHU,03.BHU
7,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,M,H,U,5,00,MHU,00.MHU
8,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,M,H,U,4,01,MHU,01.MHU
9,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,M,H,U,2,02,MHU,02.MHU
10,VBB 1 Velocity High Gain Science mode,00,Transmitted raw data,L,H,U,1,00,LHU,00.LHU
11,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,H,L,U,100,05,HLU,05.HLU
12,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,U,50,05,BLU,05.BLU
13,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,U,25,06,BLU,06.BLU
14,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,U,20,07,BLU,07.BLU
15,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,U,10,08,BLU,08.BLU
16,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,U,5,05,MLU,05.MLU
17,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,U,4,06,MLU,06.MLU
18,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,U,2,07,MLU,07.MLU
19,VBB 1 Velocity Low Gain Science mode,05,Transmitted raw data,L,L,U,1,05,LLU,05.LLU
20,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,H,H,U,100,10,HHU,10.HHU
21,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,U,50,10,BHU,10.BHU
22,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,U,25,11,BHU,11.BHU
23,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,U,20,12,BHU,12.BHU
24,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,U,10,13,BHU,13.BHU
25,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,U,5,10,MHU,10.MHU
26,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,U,4,11,MHU,11.MHU
27,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,U,2,12,MHU,12.MHU
28,VBB 1 Velocity High Gain Engin. mode,10,Transmitted raw data,L,H,U,1,10,LHU,10.LHU
29,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,H,L,U,100,15,HLU,15.HLU
30,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,U,50,15,BLU,15.BLU
31,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,U,25,16,BLU,16.BLU
32,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,U,20,17,BLU,17.BLU
33,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,U,10,18,BLU,18.BLU
34,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,U,5,15,MLU,15.MLU
35,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,U,4,16,MLU,16.MLU
36,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,U,2,17,MLU,17.MLU
37,VBB 1 Velocity Low Gain Engin. mode,15,Transmitted raw data,L,L,U,1,15,LLU,15.LLU
38,VBB 1 Position High Gain Science mode,00,Transmitted raw data,L,M,U,1,00,LMU,00.LMU
39,VBB 1 Position High Gain Science mode,00,Transmitted raw data,V,M,U,0.5,00,VMU,00.VMU
40,VBB 1 Position High Gain Science mode,00,Transmitted raw data,V,M,U,0.25,01,VMU,01.VMU
41,VBB 1 Position High Gain Science mode,00,Transmitted raw data,V,M,U,0.2,02,VMU,02.VMU
42,VBB 1 Position High Gain Science mode,00,Transmitted raw data,V,M,U,0.1,03,VMU,03.VMU
43,VBB 1 Position High Gain Science mode,00,Transmitted raw data,U,M,U,0.05,00,UMU,00.UMU
44,VBB 1 Position High Gain Science mode,00,Transmitted raw data,U,M,U,0.025,01,UMU,01.UMU
45,VBB 1 Position High Gain Science mode,00,Transmitted raw data,U,M,U,0.02,02,UMU,02.UMU
46,VBB 1 Position High Gain Science mode,00,Transmitted raw data,U,M,U,0.01,03,UMU,03.UMU
47,VBB 1 Position High Gain Science mode,00,Transmitted raw data,R,M,U,0.005,00,RMU,00.RMU
48,VBB 1 Position High Gain Science mode,00,Transmitted raw data,R,M,U,0.001,01,RMU,01.RMU
49,VBB 1 Position High Gain Science mode,00,Transmitted raw data,R,M,U,1/1800,02,RMU,02.RMU
50,VBB 1 Position High Gain Science mode,00,Transmitted raw data,R,M,U,1/3600,03,RMU,03.RMU
51,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,L,M,U,1,05,LMU,05.LMU
52,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,V,M,U,0.5,05,VMU,05.VMU
53,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,V,M,U,0.25,06,VMU,06.VMU
54,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,V,M,U,0.2,07,VMU,07.VMU
55,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,V,M,U,0.1,08,VMU,08.VMU
56,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,U,M,U,0.05,05,UMU,05.UMU
57,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,U,M,U,0.025,06,UMU,06.UMU
58,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,U,M,U,0.02,07,UMU,07.UMU
59,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,U,M,U,0.01,08,UMU,08.UMU
60,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,R,M,U,0.005,05,RMU,05.RMU
61,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,R,M,U,0.001,06,RMU,06.RMU
62,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,R,M,U,1/1800,07,RMU,07.RMU
63,VBB 1 Position Low Gain Science mode,05,Transmitted raw data,R,M,U,1/3600,08,RMU,08.RMU
64,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,L,M,U,1,10,LMU,10.LMU
65,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,V,M,U,0.5,10,VMU,10.VMU
66,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,V,M,U,0.25,11,VMU,11.VMU
67,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,V,M,U,0.2,12,VMU,12.VMU
68,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,V,M,U,0.1,13,VMU,13.VMU
69,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,U,M,U,0.05,10,UMU,10.UMU
70,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,U,M,U,0.025,11,UMU,11.UMU
71,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,U,M,U,0.02,12,UMU,12.UMU
72,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,U,M,U,0.01,13,UMU,13.UMU
73,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,R,M,U,0.005,10,RMU,10.RMU
74,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,R,M,U,0.001,11,RMU,11.RMU
75,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,R,M,U,1/1800,12,RMU,12.RMU
76,VBB 1 Position High Gain Engin. mode,10,Transmitted raw data,R,M,U,1/3600,13,RMU,13.RMU
77,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,L,M,U,1,15,LMU,15.LMU
78,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,U,0.5,15,VMU,15.VMU
79,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,U,0.25,16,VMU,16.VMU
80,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,U,0.2,17,VMU,17.VMU
81,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,U,0.1,18,VMU,18.VMU
82,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,U,0.05,15,UMU,15.UMU
83,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,U,0.025,16,UMU,16.UMU
84,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,U,0.02,17,UMU,17.UMU
85,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,U,0.01,18,UMU,18.UMU
86,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,U,0.005,15,RMU,15.RMU
87,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,U,0.001,16,RMU,16.RMU
88,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,U,1/1800,17,RMU,17.RMU
89,VBB 1 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,U,1/3600,18,RMU,18.RMU
90,VBB 1 Temperature,00,Transmitted raw data,L,K,U,1,00,LKU,00.LKU
91,VBB 1 Temperature,00,Transmitted raw data,V,K,U,0.5,00,VKU,00.VKU
92,VBB 1 Temperature,00,Transmitted raw data,V,K,U,0.25,01,VKU,01.VKU
93,VBB 1 Temperature,00,Transmitted raw data,V,K,U,0.2,02,VKU,02.VKU
94,VBB 1 Temperature,00,Transmitted raw data,V,K,U,0.1,03,VKU,03.VKU
95,VBB 1 Temperature,00,Transmitted raw data,U,K,U,0.05,00,UKU,00.UKU
96,VBB 1 Temperature,00,Transmitted raw data,U,K,U,0.025,01,UKU,01.UKU
97,VBB 1 Temperature,00,Transmitted raw data,U,K,U,0.02,02,UKU,02.UKU
98,VBB 1 Temperature,00,Transmitted raw data,U,K,U,0.01,03,UKU,03.UKU
99,VBB 1 Temperature,00,Transmitted raw data,R,K,U,0.005,00,RKU,00.RKU
100,VBB 1 Temperature,00,Transmitted raw data,R,K,U,0.001,01,RKU,01.RKU
101,VBB 1 Temperature,00,Transmitted raw data,R,K,U,1/1800,02,RKU,02.RKU
102,VBB 1 Temperature,00,Transmitted raw data,R,K,U,1/3600,03,RKU,03.RKU
103,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,H,H,V,100,00,HHV,00.HHV
104,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,B,H,V,50,00,BHV,00.BHV
105,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,B,H,V,25,01,BHV,01.BHV
106,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,B,H,V,20,02,BHV,02.BHV
107,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,B,H,V,10,03,BHV,03.BHV
108,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,M,H,V,5,00,MHV,00.MHV
109,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,M,H,V,4,01,MHV,01.MHV
110,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,M,H,V,2,02,MHV,02.MHV
111,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,L,H,V,1,00,LHV,00.LHV
112,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,H,L,V,100,05,HLV,05.HLV
113,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,50,05,BLV,05.BLV
114,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,25,06,BLV,06.BLV
115,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,20,07,BLV,07.BLV
116,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,10,08,BLV,08.BLV
117,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,V,5,05,MLV,05.MLV
118,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,V,4,06,MLV,06.MLV
119,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,V,2,07,MLV,07.MLV
120,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,L,L,V,1,05,LLV,05.LLV
121,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,H,H,V,100,10,HHV,10.HHV
122,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,50,10,BHV,10.BHV
123,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,25,11,BHV,11.BHV
124,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,20,12,BHV,12.BHV
125,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,10,13,BHV,13.BHV
126,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,V,5,10,MHV,10.MHV
127,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,V,4,11,MHV,11.MHV
128,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,V,2,12,MHV,12.MHV
129,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,L,H,V,1,10,LHV,10.LHV
130,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,H,L,V,100,15,HLV,15.HLV
131,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,50,15,BLV,15.BLV
132,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,25,16,BLV,16.BLV
133,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,20,17,BLV,17.BLV
134,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,10,18,BLV,18.BLV
135,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,V,5,15,MLV,15.MLV
136,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,V,4,16,MLV,16.MLV
137,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,V,2,17,MLV,17.MLV
138,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,L,L,V,1,15,LLV,15.LLV
139,VBB 2 Position High Gain Science mode,00,Transmitted raw data,L,M,V,1,00,LMV,00.LMV
140,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.5,00,VMV,00.VMV
141,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.25,01,VMV,01.VMV
142,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.2,02,VMV,02.VMV
143,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.1,03,VMV,03.VMV
144,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.05,00,UMV,00.UMV
145,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.025,01,UMV,01.UMV
146,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.02,02,UMV,02.UMV
147,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.01,03,UMV,03.UMV
148,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,0.005,00,RMV,00.RMV
149,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,0.001,01,RMV,01.RMV
150,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,1/1800,02,RMV,02.RMV
151,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,1/3600,03,RMV,03.RMV
152,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,L,M,V,1,05,LMV,05.LMV
153,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.5,05,VMV,05.VMV
154,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.25,06,VMV,06.VMV
155,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.2,07,VMV,07.VMV
156,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.1,08,VMV,08.VMV
157,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.05,05,UMV,05.UMV
158,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.025,06,UMV,06.UMV
159,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.02,07,UMV,07.UMV
160,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.01,08,UMV,08.UMV
161,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,0.005,05,RMV,05.RMV
162,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,0.001,06,RMV,06.RMV
163,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,1/1800,07,RMV,07.RMV
164,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,1/3600,08,RMV,08.RMV
165,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,L,M,V,1,10,LMV,10.LMV
166,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.5,10,VMV,10.VMV
167,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.25,11,VMV,11.VMV
168,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.2,12,VMV,12.VMV
169,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.1,13,VMV,13.VMV
170,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.05,10,UMV,10.UMV
171,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.025,11,UMV,11.UMV
172,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.02,12,UMV,12.UMV
173,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.01,13,UMV,13.UMV
174,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,0.005,10,RMV,10.RMV
175,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,0.001,11,RMV,11.RMV
176,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,1/1800,12,RMV,12.RMV
177,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,1/3600,13,RMV,13.RMV
178,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,L,M,V,1,15,LMV,15.LMV
179,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.5,15,VMV,15.VMV
180,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.25,16,VMV,16.VMV
181,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.2,17,VMV,17.VMV
182,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.1,18,VMV,18.VMV
183,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.05,15,UMV,15.UMV
184,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.025,16,UMV,16.UMV
185,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.02,17,UMV,17.UMV
186,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.01,18,UMV,18.UMV
187,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,0.005,15,RMV,15.RMV
188,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,0.001,16,RMV,16.RMV
189,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,1/1800,17,RMV,17.RMV
190,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,1/3600,18,RMV,18.RMV
191,VBB 2 Temperature,00,Transmitted raw data,L,K,V,1,00,LKV,00.LKV
192,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.5,00,VKV,00.VKV
193,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.25,01,VKV,01.VKV
194,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.2,02,VKV,02.VKV
195,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.1,03,VKV,03.VKV
196,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.05,00,UKV,00.UKV
197,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.025,01,UKV,01.UKV
198,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.02,02,UKV,02.UKV
199,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.01,03,UKV,03.UKV
200,VBB 2 Temperature,00,Transmitted raw data,R,K,V,0.005,00,RKV,00.RKV
201,VBB 2 Temperature,00,Transmitted raw data,R,K,V,0.001,01,RKV,01.RKV
202,VBB 2 Temperature,00,Transmitted raw data,R,K,V,1/1800,02,RKV,02.RKV
203,VBB 2 Temperature,00,Transmitted raw data,R,K,V,1/3600,03,RKV,03.RKV
204,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,H,H,W,100,00,HHW,00.HHW
205,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,50,00,BHW,00.BHW
206,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,25,01,BHW,01.BHW
207,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,20,02,BHW,02.BHW
208,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,10,03,BHW,03.BHW
209,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,M,H,W,5,00,MHW,00.MHW
210,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,M,H,W,4,01,MHW,01.MHW
211,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,M,H,W,2,02,MHW,02.MHW
212,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,L,H,W,1,00,LHW,00.LHW
213,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,H,L,W,100,05,HLW,05.HLW
